NetName,DistributedAlgo,Learner,Sites,Rounds,Subrounds,Safezones,TotalMsgs,TotalInfoMsgs,TotalBytes,Accuracy,Threshold,BatchSize
net1,dist_algo_net1,LeNet,4,8356,22573,33424,220359,167526,1756540409456,99.42,0.000800,64.000000
net2,dist_algo_net2,LeNet,4,6194,4906,24776,106640,78494,703627553264,99.36,0.000800,128.000000
net3,dist_algo_net3,LeNet,4,5358,91,21432,59659,43406,287827572976,99.45,0.000800,192.000000
net1,dist_algo_net4,LeNet,4,2481,7295,9924,66282,50706,534184653936,99.45,0.008000,64.000000
net2,dist_algo_net5,LeNet,4,1892,4854,7568,49320,37378,390467479248,99.4,0.008000,128.000000
net3,dist_algo_net6,LeNet,4,1809,4547,7236,45354,34474,356778039344,99.32,0.008000,192.000000
net1,dist_algo_net7,LeNet,4,30,77,120,741,566,5841948976,95.62,0.080000,64.000000
net2,dist_algo_net8,LeNet,4,48,109,192,1120,852,8645036832,97.42,0.080000,128.000000
net3,dist_algo_net9,LeNet,4,27,55,108,601,456,4558292256,95.05,0.080000,192.000000
net1,dist_algo_net1,LeNet,8,4020,27627,32160,284064,210476,2335679059936,99.17,0.000800,64.000000
net2,dist_algo_net2,LeNet,8,2285,9324,18280,165202,117876,1304562083936,99.13,0.000800,128.000000
net3,dist_algo_net3,LeNet,8,2140,3243,17120,99665,70034,693096207824,99.19,0.000800,192.000000
net1,dist_algo_net4,LeNet,8,1286,8981,10288,77801,58714,634309868944,99.24,0.008000,64.000000
net2,dist_algo_net5,LeNet,8,883,6086,7064,59247,44146,485720024976,99.16,0.008000,128.000000
net3,dist_algo_net6,LeNet,8,809,5478,6472,53449,39826,436888673296,99.2,0.008000,192.000000
net1,dist_algo_net7,LeNet,8,38,262,304,2424,1818,19831188368,96.32,0.080000,64.000000
net2,dist_algo_net8,LeNet,8,28,174,224,1823,1352,14775152192,95.1,0.080000,128.000000
net1,dist_algo_net9,LeNet,8,24,138,192,1539,1136,12365021056,94.88,0.080000,192.000000
net1,dist_algo_net1,LeNet,16,2038,29897,32608,325262,238136,2692116428736,98.89,0.000800,64.000000
net1,dist_algo_net2,LeNet,16,989,10858,15824,241766,169080,2007429486400,98.97,0.000800,128.000000
net1,dist_algo_net3,LeNet,16,891,4934,14256,162414,112164,1282451690784,98.86,0.000800,192.000000
net1,dist_algo_net4,LeNet,16,675,10108,10800,88417,66138,724846957968,98.88,0.008000,64.000000
net1,dist_algo_net5,LeNet,16,452,6644,7232,64522,47750,530726597360,98.78,0.008000,128.000000
net1,dist_algo_net6,LeNet,16,427,6057,6832,58123,43076,474743448096,98.93,0.008000,192.000000
net1,dist_algo_net7,LeNet,16,58,870,928,7492,5618,61432148688,97.87,0.080000,64.000000
net1,dist_algo_net8,LeNet,16,76,1113,1216,10399,7730,85323882960,98.37,0.080000,128.000000
net1,dist_algo_net9,LeNet,16,87,1237,1392,11965,8864,97872283264,98.53,0.080000,192.000000
